pos ref,pos,eg_rpm,gb_rpm
206,204,0,0
206,204,0,0
206,204,0,0
206,205,0,0
206,205,0,0
206,205,0,0
206,205,0,0
206,205,0,0
206,205,0,0
206,205,0,0
206,205,0,0
206,205,0,0
206,205,0,0
206,205,0,0
206,205,0,0
206,206,0,0
206,206,0,0
207,206,0,0
207,206,0,0
207,206,0,0
207,206,0,0
207,206,0,0
207,206,0,0
207,206,0,0
207,206,0,0
207,206,0,0
207,206,0,0
207,206,0,0
207,206,0,0
207,206,0,0
207,206,0,0
207,206,0,0
207,206,0,0
208,206,0,0
208,206,0,0
208,207,0,0
208,207,0,0
208,207,0,0
208,207,0,0
208,207,0,0
208,207,0,0
208,207,0,0
208,207,0,0
208,207,0,0
208,208,0,0
208,207,0,0
208,207,0,0
208,207,0,0
209,207,0,0
209,208,0,0
209,208,0,0
209,208,0,0
209,208,0,0
209,208,0,0
209,208,0,0
209,208,0,0
209,208,0,0
209,208,0,0
209,208,0,0
209,208,0,0
209,208,0,0
209,208,0,0
210,208,0,0
210,208,0,0
210,208,0,0
210,209,0,0
210,209,0,0
210,209,0,0
210,209,0,0
210,209,0,0
210,209,0,0
210,209,0,0
210,209,0,0
210,209,0,0
211,210,0,0
211,209,0,0
211,209,0,0
211,209,0,0
211,210,0,0
211,210,0,0
211,210,0,0
211,210,0,0
211,210,0,0
211,210,0,0
211,210,0,0
212,210,0,0
212,210,0,0
212,211,0,0
212,211,0,0
212,211,0,0
212,211,0,0
212,211,0,0
212,211,0,0
212,211,0,0
212,211,0,0
212,211,0,0
213,211,0,0
213,211,0,0
213,211,0,0
213,211,0,0
213,212,0,0
213,212,0,0
213,212,0,0
213,212,0,0
213,212,0,0
213,212,0,0
214,213,0,0
214,212,0,0
214,212,0,0
214,212,0,0
214,212,0,0
214,213,0,0
214,213,0,0
214,213,0,0
214,213,0,0
215,213,0,0
215,213,0,0
215,213,0,0
215,213,0,0
215,214,0,0
215,213,0,0
215,214,0,0
215,214,0,0
215,214,0,0
216,214,0,0
216,214,0,0
216,214,0,0
216,214,0,0
216,215,0,0
216,215,0,0
216,215,0,0
216,215,0,0
216,215,0,0
217,215,0,0
217,215,0,0
217,215,0,0
217,215,0,0
217,215,0,0
217,216,0,0
217,216,0,0
217,216,0,0
218,216,0,0
218,216,0,0
218,216,0,0
218,216,0,0
218,216,0,0
218,217,0,0
218,217,0,0
218,217,0,0
219,217,0,0
219,217,0,0
219,217,0,0
219,217,0,0
219,217,0,0
219,218,0,0
219,218,0,0
220,218,0,0
220,218,0,0
220,218,0,0
220,218,0,0
220,218,0,0
220,218,0,0
220,219,0,0
221,219,0,0
221,219,0,0
221,219,0,0
221,219,0,0
221,219,0,0
221,219,0,0
221,220,0,0
222,220,0,0
222,220,0,0
222,220,0,0
222,220,0,0
222,220,0,0
222,221,0,0
222,221,0,0
223,221,0,0
223,221,0,0
223,221,0,0
223,221,0,0
223,221,0,0
223,221,0,0
223,222,0,0
224,222,0,0
224,222,0,0
224,222,0,0
224,222,0,0
224,222,0,0
224,222,0,0
225,223,0,0
225,223,0,0
225,223,0,0
225,223,0,0
225,223,0,0
225,223,0,0
226,223,0,0
226,224,0,0
226,224,0,0
226,224,0,0
226,224,0,0
226,224,0,0
226,224,0,0
227,225,0,0
227,225,0,0
227,225,0,0
227,225,0,0
227,225,0,0
227,225,0,0
228,225,0,0
228,226,0,0
228,226,0,0
228,226,0,0
228,226,0,0
228,226,0,0
229,227,0,0
229,227,0,0
229,227,0,0
229,227,0,0
229,227,0,0
229,227,0,0
230,227,0,0
230,228,0,0
230,228,0,0
230,228,0,0
230,228,0,0
230,228,0,0
231,228,0,0
231,229,0,0
231,229,0,0
231,229,0,0
231,229,0,0
231,229,0,0
232,230,0,0
232,230,0,0
232,230,0,0
232,230,0,0
232,230,0,0
232,230,0,0
233,230,0,0
233,231,0,0
233,231,0,0
233,231,0,0
233,231,0,0
233,231,0,0
233,232,0,0
234,232,0,0
234,232,0,0
234,231,0,0
234,232,0,0
234,232,0,0
234,232,0,0
235,233,0,0
235,233,0,0
235,233,0,0
235,233,0,0
235,233,0,0
235,234,0,0
235,234,0,0
236,234,0,0
236,234,0,0
236,234,0,0
236,234,0,0
236,234,0,0
236,234,0,0
236,235,0,0
237,235,0,0
237,235,0,0
237,235,0,0
237,235,0,0
237,235,0,0
237,236,0,0
237,236,0,0
237,236,0,0
238,236,0,0
238,236,0,0
238,236,0,0
238,236,0,0
238,236,0,0
238,237,0,0
238,237,0,0
238,237,0,0
238,237,0,0
238,237,0,0
239,237,0,0
239,237,0,0
239,237,0,0
239,237,0,0
239,238,0,0
239,238,0,0
239,238,0,0
239,238,0,0
239,238,0,0
239,238,0,0
239,238,0,0
239,239,0,0
239,238,0,0
239,238,0,0
239,238,0,0
239,239,0,0
239,239,0,0
239,239,0,0
239,239,0,0
239,239,0,0
239,238,0,0
240,239,0,0
239,239,0,0
239,239,0,0
239,239,0,0
239,239,0,0
239,239,0,0
239,239,0,0
239,239,0,0
239,239,0,0
239,239,0,0
239,239,0,0
239,239,0,0
239,239,0,0
239,239,0,0
239,239,0,0
239,239,0,0
239,239,0,0
239,239,0,0
239,239,0,0
238,239,0,0
238,239,0,0
238,239,0,0
238,239,0,0
238,239,0,0
238,239,0,0
238,238,0,0
237,238,0,0
237,238,0,0
237,238,0,0
237,238,0,0
237,238,0,0
236,238,0,0
236,238,0,0
236,238,0,0
236,238,0,0
236,238,0,0
235,237,0,0
235,237,0,0
235,237,0,0
234,237,0,0
234,236,0,0
234,236,0,0
234,236,0,0
233,236,0,0
233,236,0,0
233,235,0,0
232,235,0,0
232,235,0,0
231,234,0,0
231,234,0,0
231,234,0,0
230,233,0,0
230,233,0,0
229,233,0,0
229,232,0,0
229,232,0,0
228,232,0,0
228,231,0,0
227,231,0,0
227,230,0,0
226,230,0,0
226,230,0,0
225,229,0,0
225,229,0,0
224,228,0,0
224,228,0,0
223,227,0,0
222,227,0,0
222,226,0,0
221,226,0,0
221,226,0,0
220,225,0,0
219,225,0,0
219,224,0,0
218,223,0,0
217,223,0,0
217,222,0,0
216,221,0,0
215,221,0,0
215,220,0,0
214,219,0,0
213,219,0,0
213,218,0,0
212,217,0,0
211,217,0,0
210,216,0,0
210,215,0,0
209,215,0,0
208,214,0,0
207,213,0,0
207,212,0,0
206,212,0,0
205,211,0,0
204,210,0,0
203,209,0,0
203,209,0,0
202,208,0,0
201,207,0,0
200,206,0,0
199,206,0,0
198,205,0,0
198,204,0,0
197,203,0,0
196,203,0,0
195,202,0,0
194,201,0,0
193,200,0,0
193,199,0,0
192,199,0,0
191,198,0,0
190,197,0,0
189,196,0,0
188,195,0,0
188,194,0,0
187,193,0,0
186,193,0,0
185,192,0,0
184,191,0,0
184,191,0,0
183,190,0,0
182,189,0,0
181,188,0,0
181,187,0,0
180,186,0,0
179,185,0,0
179,184,0,0
178,184,0,0
177,183,0,0
177,183,0,0
176,182,0,0
175,181,0,0
175,181,0,0
174,180,0,0
174,179,0,0
173,178,0,0
173,178,0,0
172,177,0,0
172,176,0,0
172,176,0,0
171,176,0,0
171,175,0,0
171,174,0,0
170,174,0,0
170,173,0,0
170,173,0,0
170,173,0,0
170,172,0,0
170,172,0,0
170,172,0,0
170,171,0,0
170,171,0,0
170,171,0,0
170,171,0,0
170,171,0,0
170,171,0,0
170,171,0,0
171,171,0,0
171,171,0,0
171,170,0,0
172,170,0,0
172,171,0,0
173,170,0,0
173,171,0,0
174,171,0,0
175,171,0,0
175,171,0,0
176,172,0,0
177,172,0,0
178,173,0,0
179,173,0,0
180,173,0,0
181,174,0,0
182,175,0,0
183,175,0,0
184,176,0,0
185,177,0,0
186,178,0,0
187,179,0,0
189,179,0,0
190,180,0,0
191,181,0,0
193,182,0,0
194,183,0,0
196,184,0,0
197,185,0,0
199,186,0,0
200,188,0,0
202,189,0,0
203,190,0,0
205,191,0,0
206,192,0,0
208,193,0,0
209,194,0,0
211,195,0,0
213,196,0,0
214,197,0,0
216,198,0,0
217,200,0,0
219,201,0,0
220,202,0,0
222,203,0,0
223,204,0,0
225,205,0,0
226,206,0,0
227,208,0,0
229,209,0,0
230,210,0,0
231,211,0,0
232,212,0,0
233,213,0,0
234,215,0,0
235,216,0,0
236,217,0,0
237,218,0,0
237,219,0,0
238,220,0,0
238,221,0,0
239,222,0,0
239,224,0,0
239,225,0,0
239,226,0,0
239,227,0,0
239,228,0,0
239,229,0,0
239,230,0,0
238,231,0,0
238,232,0,0
237,233,0,0
236,234,0,0
235,235,0,0
234,236,0,0
233,236,0,0
232,236,0,0
231,236,0,0
229,235,0,0
228,235,0,0
226,234,0,0
224,234,0,0
222,233,0,0
220,232,0,0
218,231,0,0
216,229,0,0
214,228,0,0
212,227,0,0
210,226,0,0
207,225,0,0
205,223,0,0
203,222,0,0
200,221,0,0
198,220,0,0
196,218,0,0
193,217,0,0
191,216,0,0
189,214,0,0
187,213,0,0
185,212,0,0
183,210,0,0
181,209,0,0
179,208,0,0
177,207,0,0
176,205,0,0
174,204,0,0
173,203,0,0
172,202,0,0
171,200,0,0
171,199,0,0
170,198,0,0
170,197,0,0
170,196,0,0
170,194,0,0
170,193,0,0
170,192,0,0
171,191,0,0
172,189,0,0
