pos_ref,pos,eg_rpm,gb_rpm
230,235,11964,0
229,235,13571,0
228,235,12035,0
228,234,12607,0
227,234,13107,0
226,234,12392,0
226,233,13142,0
225,233,12142,0
224,232,13571,0
223,232,12214,0
223,232,13178,0
222,231,13035,0
221,230,12678,0
220,230,13321,0
220,229,12035,0
219,229,13357,0
218,228,12178,0
217,228,13250,0
216,227,12714,0
216,226,12535,0
215,226,13321,0
214,225,12107,0
213,225,13607,0
212,224,12142,0
211,223,12821,0
210,223,12178,0
210,222,12821,0
209,221,13071,0
208,220,12428,0
207,219,13178,0
206,219,12035,0
205,218,13178,0
204,217,12857,0
203,216,12678,0
203,215,13071,0
202,215,12214,0
201,214,13357,0
200,213,12214,0
199,212,12928,0
198,211,12678,0
197,210,12821,0
196,209,12785,0
196,209,12321,0
195,208,13357,0
194,207,12000,0
193,206,13285,0
192,205,12500,0
191,205,12750,0
191,204,12928,0
190,203,12071,0
189,202,13750,0
188,201,11892,0
187,201,13214,0
187,200,12357,0
186,199,12750,0
185,198,12500,0
184,197,12428,0
184,197,13250,0
183,196,12178,0
182,195,13142,0
182,194,12785,0
181,193,12928,0
180,193,13250,0
180,192,12321,0
179,191,13392,0
179,190,12035,0
178,190,13321,0
177,189,12464,0
177,188,12678,0
176,187,12464,0
176,187,12642,0
175,186,13321,0
175,185,12285,0
174,185,13285,0
174,184,12321,0
174,183,13107,0
173,183,12857,0
173,182,12321,0
172,182,13642,0
172,181,12392,0
172,181,13750,0
171,180,12392,0
171,180,13035,0
171,179,12500,0
171,178,12714,0
170,178,12928,0
170,178,11535,0
170,177,13142,0
170,177,12464,0
170,176,13142,0
170,176,13035,0
170,175,12142,0
170,175,12785,0
170,175,11857,0
170,174,17464,0
170,174,21678,0
170,174,19964,0
170,173,22571,0
170,173,22642,0
170,173,21678,0
170,173,22750,0
170,173,24071,0
170,173,23142,0
170,173,21214,0
171,173,22928,0
171,172,22642,0
171,172,23714,0
171,172,23178,0
172,172,24142,0
172,172,21464,0
172,172,13392,0
173,172,14428,0
173,172,13214,0
173,172,13392,0
174,172,12142,0
174,172,13178,0
175,172,12321,0
175,172,12928,0
176,172,12750,0
176,172,13285,0
177,172,12821,0
177,173,12250,0
178,173,13142,0
178,173,12250,0
179,173,12857,0
179,173,12142,0
180,174,12678,0
181,174,13357,0
181,174,12000,0
182,175,13000,0
183,175,12321,0
183,175,13214,0
184,176,13071,0
185,176,12785,0
186,176,12892,0
186,177,12285,0
187,177,12785,0
188,178,10357,0
189,178,12500,0
189,179,12750,0
190,179,12714,0
191,180,12964,0
192,180,12178,0
193,181,13392,0
193,182,12750,0
194,182,13678,0
195,183,12535,0
196,183,12821,0
197,184,13035,0
198,184,12357,0
199,185,13535,0
199,186,12392,0
200,187,13071,0
201,188,12642,0
202,188,13071,0
203,189,12571,0
204,190,12535,0
205,191,13857,0
206,191,11464,0
206,192,12607,0
207,193,12785,0
208,194,-21642,0
209,195,12714,0
210,195,12428,0
211,196,14607,0
212,197,12035,0
213,198,13035,0
213,198,12571,0
214,199,14321,0
215,200,13285,0
216,201,12178,0
217,202,14142,0
218,203,12035,0
218,203,12892,0
219,204,12714,0
220,205,12857,0
221,206,12678,0
222,207,12142,0
222,208,13250,0
223,208,12071,0
224,209,8607,0
225,210,12607,0
225,211,13428,0
226,212,12928,0
227,213,12535,0
227,214,13071,0
228,215,12392,0
229,215,13321,0
229,216,11892,0
230,217,12464,0
230,217,12964,0
231,218,12392,0
232,219,13214,0
232,220,12107,0
233,221,13285,0
233,221,12285,0
234,222,12928,0
234,223,13035,0
235,223,12464,0
235,224,12750,0
235,225,12285,0
236,225,13071,0
236,226,12500,0
237,226,12571,0
237,227,12035,0
237,227,12357,0
238,228,12857,0
238,229,12178,0
238,229,12785,0
238,230,12250,0
239,230,12642,0
239,231,12892,0
239,231,12428,0
239,232,12750,0
239,232,12357,0
239,233,13142,0
239,233,12107,0
239,234,12892,0
239,234,12714,0
239,234,12142,0
239,235,13071,0
239,235,12214,0
239,235,13178,0
