pos_ref,pos,eg_rpm,gb_rpm
171,171,0,0
172,171,0,0
172,171,0,0
173,171,0,0
173,171,0,0
174,171,0,0
175,171,0,0
176,171,0,0
177,172,0,0
178,172,0,0
179,173,0,0
180,173,0,0
181,174,0,0
182,174,0,0
183,175,0,0
184,176,0,0
186,177,0,0
187,178,0,0
188,179,0,0
190,179,0,0
191,180,0,0
193,181,0,0
194,182,0,0
195,183,0,0
197,184,0,0
198,185,0,0
200,186,0,0
202,187,0,0
203,189,0,0
205,190,0,0
206,191,0,0
208,192,0,0
209,193,0,0
211,194,0,0
212,195,0,0
214,196,0,0
215,197,0,0
217,198,0,0
218,199,0,0
220,200,0,0
221,201,0,0
222,203,0,0
224,204,0,0
225,204,0,0
226,206,0,0
227,207,0,0
228,208,0,0
229,209,0,0
231,210,0,0
232,211,0,0
232,212,0,0
233,214,0,0
234,215,0,0
235,216,0,0
236,217,0,0
236,218,0,0
237,219,0,0
238,220,0,0
238,221,0,0
238,222,0,0
239,223,0,0
239,225,0,0
239,226,0,0
239,227,0,0
239,228,0,0
239,229,0,0
239,230,0,0
239,231,0,0
239,232,0,0
239,233,0,0
239,234,0,0
238,235,0,0
238,236,0,0
237,237,0,0
237,237,0,0
236,237,0,0
235,237,0,0
234,237,0,0
234,237,0,0
233,237,0,0
232,237,0,0
231,236,0,0
230,236,0,0
229,235,0,0
228,235,0,0
226,234,0,0
225,233,0,0
224,233,0,0
223,232,0,0
221,231,0,0
220,230,0,0
218,228,0,0
217,227,0,0
216,226,0,0
214,225,0,0
213,223,0,0
211,222,0,0
210,221,0,0
208,220,0,0
207,218,0,0
205,217,0,0
204,216,0,0
202,215,0,0
200,213,0,0
199,212,0,0
197,211,0,0
196,210,0,0
194,208,0,0
193,207,0,0
192,205,0,0
190,204,0,0
189,203,0,0
187,202,0,0
186,201,0,0
185,199,0,0
183,198,0,0
182,197,0,0
181,196,0,0
180,194,0,0
179,193,0,0
178,192,0,0
177,191,0,0
176,190,0,0
175,189,0,0
174,187,0,0
174,186,0,0
173,185,0,0
172,184,0,0
