pos_ref,pos,eg_rpm,gb_rpm
202,214,2071,0
202,213,1785,0
201,213,1750,0
200,212,1821,0
200,212,2107,0
199,211,3000,0
199,211,1964,0
198,210,2142,0
197,209,2714,0
197,209,1750,0
196,208,1750,0
196,207,1857,0
195,207,3000,0
195,206,1678,0
194,206,1785,0
194,205,1785,0
193,205,1714,0
193,204,1857,0
192,204,1821,0
191,203,1821,0
191,203,1750,0
190,202,2071,0
190,201,2464,0
190,201,1785,0
189,200,1785,0
189,200,1678,0
188,199,1678,0
188,199,1642,0
187,198,1964,0
187,198,1785,0
186,197,1714,0
186,197,2321,0
186,196,1785,0
185,196,1714,0
185,195,1750,0
185,195,2142,0
184,194,1714,0
184,194,1714,0
184,193,1678,0
183,193,1714,0
183,193,1714,0
183,192,1678,0
183,192,1857,0
182,191,1678,0
182,191,1642,0
182,190,1750,0
182,190,1750,0
182,190,1714,0
181,189,1714,0
181,189,1750,0
181,189,1750,0
181,188,1750,0
181,188,1714,0
181,188,1678,0
181,188,1678,0
181,187,1678,0
181,187,1785,0
181,187,1678,0
181,187,1678,0
181,186,1714,0
181,186,1714,0
181,186,1642,0
181,186,1714,0
181,186,1714,0
181,186,1678,0
181,186,1642,0
181,185,1821,0
181,185,1750,0
181,185,1678,0
181,185,1714,0
181,185,1785,0
182,185,1785,0
182,185,2035,0
182,185,1678,0
182,185,1678,0
182,185,1678,0
183,185,1607,0
183,185,1892,0
183,185,1857,0
184,185,1714,0
184,185,1714,0
184,185,1750,0
185,185,1642,0
185,185,1714,0
185,185,1714,0
186,185,1714,0
186,185,1678,0
186,185,1714,0
187,185,1678,0
187,186,1678,0
188,186,1642,0
188,186,1714,0
188,186,1714,0
189,186,1678,0
189,186,1750,0
190,187,1750,0
190,187,1750,0
191,187,1714,0
191,187,1750,0
192,187,1714,0
192,187,1714,0
193,188,1678,0
193,188,1714,0
194,189,1678,0
194,189,1642,0
195,189,1714,0
196,190,1714,0
196,190,1678,0
197,191,1678,0
197,191,1750,0
