pos_ref,pos,eg_rpm,gb_rpm
196,182,0,0
198,183,0,0
199,184,0,0
201,185,0,0
203,186,0,0
205,187,0,0
206,189,0,0
208,190,0,0
210,191,0,0
212,192,0,0
213,193,0,0
215,194,0,0
217,195,0,0
218,196,0,0
220,197,0,0
221,198,0,0
223,199,0,0
224,200,0,0
226,201,0,0
227,203,0,0
229,204,0,0
230,205,0,0
231,206,0,0
232,207,0,0
233,208,0,0
234,209,0,0
235,210,0,0
236,211,0,0
237,212,0,0
237,214,0,0
238,215,0,0
238,216,0,0
239,217,0,0
239,218,0,0
239,219,0,0
239,220,0,0
239,222,0,0
239,223,0,0
239,224,0,0
239,225,0,0
239,226,0,0
238,227,0,0
238,228,0,0
237,229,0,0
237,230,0,0
236,231,0,0
235,232,0,0
234,233,0,0
234,234,0,0
233,234,0,0
231,234,0,0
230,234,0,0
229,234,0,0
228,234,0,0
226,234,0,0
225,233,0,0
224,232,0,0
222,231,0,0
221,230,0,0
219,230,0,0
217,228,0,0
216,227,0,0
214,226,0,0
212,225,0,0
211,224,0,0
209,222,0,0
207,221,0,0
205,220,0,0
204,219,0,0
202,217,0,0
200,216,0,0
198,215,0,0
197,213,0,0
195,212,0,0
193,211,0,0
192,210,0,0
190,208,0,0
188,207,0,0
187,206,0,0
185,205,0,0
184,203,0,0
182,202,0,0
181,201,0,0
180,200,0,0
179,198,0,0
177,197,0,0
176,196,0,0
175,195,0,0
174,193,0,0
174,192,0,0
173,191,0,0
172,190,0,0
171,189,0,0
171,187,0,0
170,186,0,0
170,185,0,0
170,184,0,0
170,183,0,0
170,181,0,0
170,180,0,0
170,179,0,0
170,178,0,0
170,177,0,0
170,176,0,0
171,175,0,0
171,174,0,0
172,173,0,0
173,172,0,0
173,172,0,0
174,172,0,0
175,172,0,0
176,172,0,0
177,172,0,0
178,173,0,0
179,173,0,0
181,173,0,0
182,174,0,0
183,175,0,0
185,175,0,0
186,176,0,0
188,177,0,0
189,178,0,0
191,179,0,0
193,180,0,0
194,181,0,0
196,182,0,0
198,183,0,0
199,184,0,0
201,185,0,0
203,186,0,0
205,187,0,0
206,188,0,0
208,190,0,0
210,191,0,0
212,192,0,0
213,193,0,0
215,194,0,0
217,195,0,0
218,196,0,0
220,197,0,0
221,198,0,0
223,199,0,0
224,200,0,0
226,201,0,0
227,202,0,0
229,203,0,0
230,205,0,0
231,206,0,0
232,207,0,0
233,208,0,0
234,209,0,0
235,210,0,0
236,211,0,0
237,212,0,0
237,213,0,0
238,214,0,0
238,215,0,0
239,217,0,0
239,218,0,0
239,219,0,0
239,220,0,0
239,221,0,0
239,222,0,0
239,223,0,0
239,224,0,0
239,226,0,0
238,227,0,0
238,228,0,0
237,229,0,0
237,230,0,0
236,231,0,0
235,232,0,0
234,233,0,0
234,233,0,0
232,234,0,0
231,234,0,0
230,234,0,0
229,234,0,0
228,234,0,0
226,233,0,0
225,233,0,0
224,232,0,0
222,231,0,0
220,230,0,0
219,229,0,0
217,228,0,0
216,227,0,0
214,226,0,0
212,225,0,0
211,223,0,0
209,222,0,0
207,221,0,0
205,220,0,0
204,218,0,0
202,217,0,0
200,216,0,0
198,214,0,0
197,213,0,0
195,212,0,0
193,210,0,0
192,209,0,0
190,208,0,0
188,207,0,0
187,205,0,0
