pos_ref,pos,eg_rpm,gb_rpm
170,171,0,0
170,171,0,0
170,171,0,0
170,171,0,0
171,170,0,0
171,170,0,0
171,171,0,0
172,171,0,0
172,171,0,0
173,171,0,0
173,171,0,0
174,171,0,0
175,171,0,0
175,171,0,0
176,172,0,0
177,172,0,0
178,172,0,0
179,173,0,0
179,173,0,0
180,174,0,0
181,174,0,0
182,175,0,0
183,176,0,0
185,176,0,0
186,177,0,0
187,178,0,0
188,178,0,0
189,180,0,0
190,181,0,0
191,181,0,0
193,182,0,0
194,183,0,0
195,184,0,0
196,185,0,0
198,187,0,0
199,188,0,0
200,189,0,0
202,190,0,0
203,191,0,0
204,192,0,0
206,193,0,0
207,194,0,0
208,195,0,0
210,196,0,0
211,197,0,0
212,198,0,0
213,199,0,0
215,200,0,0
216,202,0,0
217,203,0,0
218,204,0,0
220,205,0,0
221,206,0,0
222,207,0,0
223,208,0,0
224,209,0,0
225,210,0,0
226,211,0,0
227,213,0,0
228,214,0,0
229,215,0,0
230,216,0,0
231,217,0,0
232,218,0,0
233,219,0,0
233,220,0,0
234,221,0,0
235,222,0,0
236,224,0,0
236,225,0,0
237,226,0,0
237,227,0,0
238,228,0,0
238,229,0,0
238,230,0,0
239,231,0,0
239,232,0,0
239,233,0,0
239,234,0,0
239,235,0,0
239,236,0,0
239,236,0,0
239,237,0,0
239,237,0,0
239,238,0,0
239,238,0,0
239,238,0,0
239,238,0,0
238,238,0,0
238,238,0,0
237,238,0,0
237,238,0,0
236,239,0,0
236,239,0,0
235,238,0,0
235,238,0,0
234,238,0,0
233,238,0,0
232,237,0,0
232,237,0,0
231,236,0,0
230,236,0,0
229,235,0,0
228,234,0,0
227,234,0,0
226,233,0,0
225,232,0,0
224,231,0,0
223,230,0,0
222,230,0,0
220,229,0,0
219,228,0,0
218,227,0,0
217,226,0,0
215,225,0,0
214,224,0,0
213,223,0,0
212,221,0,0
210,220,0,0
209,219,0,0
208,218,0,0
206,216,0,0
205,215,0,0
204,214,0,0
202,213,0,0
201,211,0,0
200,210,0,0
199,209,0,0
197,207,0,0
196,206,0,0
195,205,0,0
193,204,0,0
192,202,0,0
191,201,0,0
190,200,0,0
189,199,0,0
187,198,0,0
186,196,0,0
185,195,0,0
184,194,0,0
183,193,0,0
182,192,0,0
181,190,0,0
180,189,0,0
179,188,0,0
178,187,0,0
177,186,0,0
177,184,0,0
176,183,0,0
175,182,0,0
174,182,0,0
174,181,0,0
173,180,0,0
173,179,0,0
172,178,0,0
172,177,0,0
171,176,0,0
171,176,0,0
170,175,0,0
170,174,0,0
170,174,0,0
170,173,0,0
170,173,0,0
170,172,0,0
170,172,0,0
170,172,0,0
170,171,0,0
170,171,0,0
170,171,0,0
170,171,0,0
170,171,0,0
171,171,0,0
171,171,0,0
171,170,0,0
172,171,0,0
172,171,0,0
173,171,0,0
174,171,0,0
174,171,0,0
175,171,0,0
176,171,0,0
176,172,0,0
177,172,0,0
178,172,0,0
179,173,0,0
180,173,0,0
181,174,0,0
182,174,0,0
183,175,0,0
184,176,0,0
185,177,0,0
186,178,0,0
187,179,0,0
188,179,0,0
189,180,0,0
191,181,0,0
192,182,0,0
193,183,0,0
194,184,0,0
196,185,0,0
197,186,0,0
198,187,0,0
200,188,0,0
201,189,0,0
202,190,0,0
203,191,0,0
205,192,0,0
206,193,0,0
207,194,0,0
209,196,0,0
210,197,0,0
211,198,0,0
213,199,0,0
214,200,0,0
215,201,0,0
216,202,0,0
218,203,0,0
219,205,0,0
220,205,0,0
221,206,0,0
222,207,0,0
224,209,0,0
225,210,0,0
226,211,0,0
227,212,0,0
228,213,0,0
229,213,0,0
230,215,0,0
231,216,0,0
231,217,0,0
232,218,0,0
233,220,0,0
234,221,0,0
234,222,0,0
235,223,0,0
236,224,0,0
236,225,0,0
237,226,0,0
237,227,0,0
238,228,0,0
238,229,0,0
238,230,0,0
239,232,0,0
239,233,0,0
239,234,0,0
239,235,0,0
239,235,0,0
239,236,0,0
