pos_ref,pos,eg_rpm,gb_rpm
186,177,0,0
187,177,0,0
189,178,0,0
190,179,0,0
191,180,0,0
193,181,0,0
194,182,0,0
196,183,0,0
197,185,0,0
198,185,0,0
200,186,0,0
201,188,0,0
203,189,0,0
204,190,0,0
205,191,0,0
207,192,0,0
208,193,0,0
210,194,0,0
211,195,0,0
212,196,0,0
214,197,0,0
215,198,0,0
217,199,0,0
218,200,0,0
219,201,0,0
221,203,0,0
222,204,0,0
224,205,0,0
225,206,0,0
226,207,0,0
228,208,0,0
229,209,0,0
231,210,0,0
232,212,0,0
233,213,0,0
235,214,0,0
236,215,0,0
238,216,0,0
239,217,0,0
240,218,0,0
242,219,0,0
242,221,0,0
240,222,0,0
239,223,0,0
238,224,0,0
236,225,0,0
235,226,0,0
233,227,0,0
232,228,0,0
231,229,0,0
229,230,0,0
228,230,0,0
226,231,0,0
225,231,0,0
224,231,0,0
222,230,0,0
221,229,0,0
219,229,0,0
218,228,0,0
217,227,0,0
215,226,0,0
214,224,0,0
212,223,0,0
211,222,0,0
210,221,0,0
208,219,0,0
207,218,0,0
205,217,0,0
204,216,0,0
203,214,0,0
201,213,0,0
200,212,0,0
198,210,0,0
197,209,0,0
196,208,0,0
194,207,0,0
193,205,0,0
191,204,0,0
190,203,0,0
189,202,0,0
187,200,0,0
186,199,0,0
184,198,0,0
183,197,0,0
182,196,0,0
180,194,0,0
179,193,0,0
177,192,0,0
176,191,0,0
175,190,0,0
173,188,0,0
172,187,0,0
170,186,0,0
169,185,0,0
168,183,0,0
169,182,0,0
170,181,0,0
172,180,0,0
173,179,0,0
174,178,0,0
176,177,0,0
177,176,0,0
179,175,0,0
180,176,0,0
181,175,0,0
183,176,0,0
184,176,0,0
186,176,0,0
187,177,0,0
188,178,0,0
190,179,0,0
191,180,0,0
193,181,0,0
194,182,0,0
195,183,0,0
197,184,0,0
198,185,0,0
200,186,0,0
201,187,0,0
202,188,0,0
204,189,0,0
205,190,0,0
207,191,0,0
208,192,0,0
209,193,0,0
211,195,0,0
212,196,0,0
214,197,0,0
215,198,0,0
216,199,0,0
218,200,0,0
219,201,0,0
221,202,0,0
222,203,0,0
223,204,0,0
225,205,0,0
226,207,0,0
228,208,0,0
229,209,0,0
230,210,0,0
232,211,0,0
233,212,0,0
235,213,0,0
236,214,0,0
237,215,0,0
239,217,0,0
240,218,0,0
242,219,0,0
242,220,0,0
241,221,0,0
239,222,0,0
238,223,0,0
236,224,0,0
235,226,0,0
234,227,0,0
232,228,0,0
231,229,0,0
229,230,0,0
228,230,0,0
227,230,0,0
225,230,0,0
224,230,0,0
222,230,0,0
221,230,0,0
220,229,0,0
218,228,0,0
217,227,0,0
215,226,0,0
214,225,0,0
213,224,0,0
211,222,0,0
210,221,0,0
208,220,0,0
207,219,0,0
206,217,0,0
204,216,0,0
203,215,0,0
201,213,0,0
200,212,0,0
199,211,0,0
197,210,0,0
196,208,0,0
194,207,0,0
193,206,0,0
192,204,0,0
190,203,0,0
189,202,0,0
187,201,0,0
186,200,0,0
185,198,0,0
183,197,0,0
182,196,0,0
180,195,0,0
179,193,0,0
178,192,0,0
176,191,0,0
175,190,0,0
173,189,0,0
172,187,0,0
171,186,0,0
169,185,0,0
168,184,0,0
169,182,0,0
170,181,0,0
171,180,0,0
173,179,0,0
174,178,0,0
176,177,0,0
177,176,0,0
178,175,0,0
180,175,0,0
181,175,0,0
183,176,0,0
184,176,0,0
185,177,0,0
187,177,0,0
188,178,0,0
190,179,0,0
191,180,0,0
192,181,0,0
194,182,0,0
195,183,0,0
197,184,0,0
198,185,0,0
199,186,0,0
201,187,0,0
202,188,0,0
204,189,0,0
205,190,0,0
206,192,0,0
208,193,0,0
209,193,0,0
211,195,0,0
212,196,0,0
213,197,0,0
215,198,0,0
216,199,0,0
218,200,0,0
219,201,0,0
220,202,0,0
222,203,0,0
223,205,0,0
225,206,0,0
226,207,0,0
227,208,0,0
229,209,0,0
230,210,0,0
232,211,0,0
233,212,0,0
234,214,0,0
236,214,0,0
237,216,0,0
239,217,0,0
240,218,0,0
241,219,0,0
242,220,0,0
241,221,0,0
239,222,0,0
238,224,0,0
237,225,0,0
235,226,0,0
234,227,0,0
232,228,0,0
231,229,0,0
230,230,0,0
228,230,0,0
227,231,0,0
225,231,0,0
224,231,0,0
223,230,0,0
221,230,0,0
220,229,0,0
218,228,0,0
217,227,0,0
216,226,0,0
214,225,0,0
213,224,0,0
211,223,0,0
210,221,0,0
209,220,0,0
207,219,0,0
206,218,0,0
204,216,0,0
203,215,0,0
202,214,0,0
200,212,0,0
199,211,0,0
197,210,0,0
196,208,0,0
195,207,0,0
193,206,0,0
192,205,0,0
190,203,0,0
189,202,0,0
188,201,0,0
186,200,0,0
185,199,0,0
183,197,0,0
182,196,0,0
181,195,0,0
179,194,0,0
178,192,0,0
176,191,0,0
175,190,0,0
174,189,0,0
172,188,0,0
171,186,0,0
169,185,0,0
168,184,0,0
168,183,0,0
170,182,0,0
171,180,0,0
173,179,0,0
174,178,0,0
175,177,0,0
177,176,0,0
178,176,0,0
180,175,0,0
181,175,0,0
182,176,0,0
184,176,0,0
185,176,0,0
187,177,0,0
188,178,0,0
189,179,0,0
191,180,0,0
192,181,0,0
194,182,0,0
